Product,Category,Region,Sales,Quantity,Discount,Date
Laptop,Electronics,North,1200,2,0.1,2024-01-01
Mouse,Electronics,South,45,5,0.0,2024-01-02
Keyboard,Electronics,,60,3,0.05,2024-01-03
Monitor,Electronics,West,300,,0.1,2024-01-04
Phone,Mobile,North,800,1,abc,2024-01-05
Tablet,Mobile,East,650,2,0.2,2024-01-06
Headphones,Audio,South,180,4,0.15,2024-01-07
Speaker,Audio,unknown,220,2,0.0,2024-01-08
Camera,Electronics,West,-150,1,0.0,2024-01-09
Printer,Office,North,250,2,0.08,2024-01-10
